spawn,agression,min_gap,Run,Data Collector,Final_Cars_in_lane,Final_avg_speed,Total_Avg_speed,Total_Cars_in_lane,Variance_car,Variance_speed
0.45380859375,0.17734375000000002,2.83349609375,0,<mesa.datacollection.DataCollector object at 0x7f1d014e3fd0>,104,79.10086649419931,77.03804474879254,64,500,15.16912077342894
0.77373046875,0.17734375000000002,2.83349609375,1,<mesa.datacollection.DataCollector object at 0x7f1d0149f828>,114,70.42524748558043,67.6587904890106,72,630,2.9338907707715065
0.45380859375,0.32421875,2.83349609375,2,<mesa.datacollection.DataCollector object at 0x7f1d0144f278>,104,82.98550162929912,75.20906334144716,68,504,16.165414143299497
0.45380859375,0.17734375000000002,4.58251953125,3,<mesa.datacollection.DataCollector object at 0x7f1d01468a58>,83,66.50588321855561,66.29556988850926,52,292,4.374554963809211
0.45380859375,0.32421875,4.58251953125,4,<mesa.datacollection.DataCollector object at 0x7f1d01468320>,83,71.75244909638872,67.13765377834608,53,286,21.310966189287473
0.77373046875,0.17734375000000002,4.58251953125,5,<mesa.datacollection.DataCollector object at 0x7f1d0144fef0>,87,65.7918575466592,61.06272503830435,57,317,9.254694374165796
0.77373046875,0.32421875,2.83349609375,6,<mesa.datacollection.DataCollector object at 0x7f1d0149f978>,118,68.15707015664242,65.21154679366887,76,578,7.539841617663611
0.77373046875,0.32421875,4.58251953125,7,<mesa.datacollection.DataCollector object at 0x7f1d013d9710>,89,65.89350040650427,62.83513502804724,58,335,7.256047967101843
0.8038085937499999,0.57734375,0.58349609375,8,<mesa.datacollection.DataCollector object at 0x7f1d013f1ba8>,213,99.05243808441557,96.39166880098395,130,2472,7.891897813827927
0.42373046875,0.57734375,0.58349609375,9,<mesa.datacollection.DataCollector object at 0x7f1d013abbe0>,120,100.83422333387662,101.07552747451497,75,702,9.019007560710413
0.8038085937499999,0.72421875,0.58349609375,10,<mesa.datacollection.DataCollector object at 0x7f1d01354780>,221,103.50982132627202,101.28519657683606,135,2609,2.9489249571148286
0.8038085937499999,0.57734375,2.33251953125,11,<mesa.datacollection.DataCollector object at 0x7f1d01403be0>,137,80.6952795708296,79.15993972349597,86,898,3.7995082414635863
