,Uur op de dag,Intensiteit per uur,Motor/personenauto (%),Licht vrachtverkeer (%),Zwaar vrachtverkeer (%),Onbepaald  (%),Gemiddelde alle voertuigen,Motor/personenauto,Licht vrachtverkeer,Zwaar vrachtverkeer
0,00:00 - 00:59,11.808390025740172,1.659910238208046,1.7533158705677756,0.6914135985252756,0.41152975979321643,1.2730573435631247,1.2730573435631247,3.7637614164556177,0.49
1,01:00 - 01:59,4.327562824500645,2.3445567140912664,0.7435697216802966,1.969555492161268,1.4128954590396976,1.6065724384539901,1.47,1.8818807082278088,1.095673308974897
2,02:00 - 02:59,11.644589945549821,3.9154005558130343,0.7495935140242661,3.6037916824820098,0.44542850512381804,2.1217622392718747,1.7496499649929984,0.812573073637073,0.0
3,03:00 - 03:59,11.603278631490326,3.2527397458431975,0.5938552304103152,2.8253835360295803,1.1257452002250155,1.7496499649929984,1.8334121195192312,4.648548160447517,0.4243524478543749
4,04:00 - 04:59,15.779217344342525,2.1087918703696773,1.1264492747992887,2.265417226288933,1.37528396382412,1.449439546859406,0.812573073637073,1.8334121195192312,0.0
5,05:00 - 05:59,11.073891592389732,0.5428460479786835,0.3925464930983928,0.7375237885200838,0.11774982830041769,0.812573073637073,1.0679302411674652,1.8334121195192312,0.4243524478543749
6,06:00 - 06:59,61.39437983235925,0.48673387383911093,0.39489240344930426,0.15108503448151656,0.21396252254637219,0.49,0.49,0.812573073637073,0.49
7,07:00 - 07:59,105.13069615958986,0.3764113735869165,0.13746287993955653,0.14857858562686638,0.27386962816441157,0.4243524478543749,0.4243524478543749,0.812573073637073,0.49
8,08:00 - 08:59,110.63262493496211,0.6345121689123785,0.367812680140559,0.12006675469601344,0.6178383001717109,12.259796083132867,12.595478355346414,13.23,9.735475078289708
9,09:00 - 09:59,469.4744057720293,1.1790963367636689,0.5643493779216823,0.16007915146897683,0.522639005144388,8.469349148547366,8.68282212186798,8.68282212186798,7.213991613524374
10,10:00 - 10:59,88.38593595702882,0.7926279551764611,0.4270245685588419,0.46777575981937397,0.8756063039475106,29.440805016167612,29.864886991247765,28.16860797057604,25.470575179999372
11,11:00 - 11:59,109.94223153547503,1.5879110646550625,0.33307543522812694,0.5487254972147211,1.0336446057321633,25.624470238426394,25.624470238426394,24.898558191188503,23.059953924498632
12,12:00 - 12:59,22.340722347319034,0.7734743744293825,0.3412183820089643,0.3365201747397679,0.29710326270859416,0.6929646455628166,0.4243524478543749,0.6929646455628166,0.4243524478543749
13,13:00 - 13:59,24.84063203704769,0.7752788174068672,0.5347048122394807,0.46348574635907686,0.2248809027866856,0.812573073637073,0.812573073637073,0.6929646455628166,0.812573073637073
14,14:00 - 14:59,59.73731057722635,0.46405049272964527,0.15442977867747634,0.416790944845372,0.22270021400288273,0.49,0.4243524478543749,0.6929646455628166,0.6929646455628166
15,15:00 - 15:59,103.26655545238255,0.15304223351378413,0.17242313737414475,0.2733016765499884,0.3071560034913371,0.812573073637073,0.812573073637073,1.0679302411674652,0.6929646455628166
16,16:00 - 16:59,404.21673802553005,0.3373116787336837,0.11918834170162466,0.19528188297144358,0.25890042024441207,1.200249973963757,0.812573073637073,0.6929646455628166,0.4243524478543749
17,17:00 - 17:59,483.5375886888216,0.16468591924197581,0.15254982487642224,0.26749038251791823,0.13623412143276362,0.812573073637073,0.812573073637073,0.98,0.812573073637073
18,18:00 - 18:59,256.8856252790335,0.5515700753587958,0.14139046512081063,0.39154516826172653,0.335541479138101,1.7496499649929984,1.3859292911256331,2.232056226890353,0.4243524478543749
19,19:00 - 19:59,85.26281604544856,0.32885172282354413,0.07600834364946674,0.13967621277168668,0.3699720649644616,0.8487048957087499,1.200249973963757,2.1217622392718747,0.4243524478543749
20,20:00 - 20:59,20.36154893420439,0.6662210283096184,0.15147263058888621,0.4575501012078965,0.37304332097170084,8.911401404941873,8.779071704912768,6.537415391421904,2.1217622392718747
21,21:00 - 21:59,33.92343290411511,0.32827594418547623,0.3259114876683459,0.5943450308916801,0.6430208264987604,8.062696509233124,8.355182523440167,4.648548160447517,3.2778765992636147
22,22:00 - 22:59,28.69220930845166,0.5999227696246057,0.286108972134453,0.22834718255389957,0.3166480213138904,7.539474451180268,7.732069580649155,4.29973254982214,3.1375308763420957
23,23:00 - 23:59,39.60446029173987,1.2071923845351007,0.3228855409180987,0.4755327209921458,0.5285462743447547,7.151314564469947,7.117661132703635,5.895292613602823,1.5495160534825059
