,Uur op de dag,Intensiteit per uur,Motor/personenauto (%),Licht vrachtverkeer (%),Zwaar vrachtverkeer (%),Onbepaald  (%),Gemiddelde alle voertuigen,Motor/personenauto,Licht vrachtverkeer,Zwaar vrachtverkeer
0,00:00 - 00:59,423.0,86.85887493193424,3.87359054389187,5.871301346938413,3.3962331772354815,105.72222222222223,106.77777777777777,94.11111111111111,84.0
1,01:00 - 01:59,255.27777777777777,77.4528011842987,6.768953326062059,12.137471742400443,3.6407737472387955,104.5,107.05555555555556,94.72222222222223,83.44444444444444
2,02:00 - 02:59,161.16666666666666,70.15909410103293,8.1283106947774,17.046640496817243,4.665954707372427,103.61111111111111,107.27777777777777,95.05555555555556,83.94444444444444
3,03:00 - 03:59,145.27777777777777,70.49289085240744,7.845701780855602,18.78211420548984,2.8792931612471366,103.05555555555556,107.27777777777777,95.33333333333333,83.11111111111111
4,04:00 - 04:59,249.16666666666666,67.66159527394656,10.659759571836869,18.72643173054086,2.9522134236757145,102.11111111111111,105.66666666666667,92.61111111111111,83.77777777777777
5,05:00 - 05:59,869.1666666666666,76.08548837445335,7.962089420630317,12.259516243871543,3.6929059610447843,106.11111111111111,108.83333333333333,94.94444444444444,83.66666666666667
6,06:00 - 06:59,2864.3333333333335,80.16283013469055,8.974198738925008,7.816388373018378,3.0465827533660645,103.66666666666667,105.44444444444444,100.72222222222223,84.27777777777777
7,07:00 - 07:59,3870.222222222222,84.49166707120688,7.165414268606728,5.237034596927206,3.105884063259203,101.16666666666667,102.44444444444444,96.38888888888889,83.22222222222223
8,08:00 - 08:59,4323.5,87.26996329265131,5.498322868273062,4.27688706377259,2.954826775303039,98.77777777777777,99.72222222222223,91.66666666666667,81.16666666666667
9,09:00 - 09:59,3431.6666666666665,83.66435224163256,7.179574481508597,6.457044041449006,2.6990292354098453,99.77777777777777,100.83333333333333,92.44444444444444,82.77777777777777
10,10:00 - 10:59,3015.6666666666665,80.47253799147926,9.676123198592697,7.298372536662839,2.552966273265192,101.77777777777777,103.05555555555556,95.66666666666667,84.5
11,11:00 - 11:59,2926.5,79.70529786559527,10.217785219328633,7.4752442518635895,2.601672663212509,102.27777777777777,103.5,95.72222222222223,84.94444444444444
12,12:00 - 12:59,3202.0555555555557,81.86074615591932,8.653205521287388,6.754017111021938,2.7320312117713574,101.83333333333333,102.83333333333333,95.94444444444444,85.44444444444444
13,13:00 - 13:59,3346.4444444444443,82.70655535525111,8.4919915000532,5.910309835933943,2.891143308761725,102.16666666666667,103.16666666666667,96.33333333333333,84.88888888888889
14,14:00 - 14:59,3727.5555555555557,83.29289280888202,8.706142877988064,5.119926568675006,2.8810377444549022,101.83333333333333,102.77777777777777,97.11111111111111,85.05555555555556
15,15:00 - 15:59,5020.388888888889,85.7768487503651,7.913908017543004,3.5442244041227773,2.7650188279691155,88.11111111111111,88.61111111111111,86.22222222222223,73.72222222222223
16,16:00 - 16:59,4391.555555555556,86.03962136062432,5.821222923282197,2.6536773376584506,5.485478378435033,43.833333333333336,44.5,44.166666666666664,36.111111111111114
17,17:00 - 17:59,4171.611111111111,88.02025026666117,3.452749535533052,2.2250038724272887,6.301996325378493,29.38888888888889,30.38888888888889,26.055555555555557,23.166666666666668
18,18:00 - 18:59,4441.611111111111,90.68377610419935,3.001813144694644,2.3635073010979424,3.9509034500080764,62.94444444444444,63.833333333333336,59.05555555555556,51.666666666666664
19,19:00 - 19:59,2717.5,90.21226566356364,3.183928892532598,3.3074927428387766,3.2963127010649895,101.27777777777777,101.66666666666667,93.27777777777777,80.72222222222223
20,20:00 - 20:59,1911.611111111111,89.48337383812729,3.4587297258752825,3.7835343073112373,3.274362128686196,107.33333333333333,107.94444444444444,96.94444444444444,84.44444444444444
21,21:00 - 21:59,1652.4444444444443,91.14701736808782,2.86159340130356,3.045361040051164,2.9460281905574495,107.44444444444444,107.83333333333333,95.55555555555556,83.94444444444444
22,22:00 - 22:59,1557.888888888889,91.73340612655767,2.0512560630675107,2.782920322193043,3.4324174881818004,107.33333333333333,107.72222222222223,93.88888888888889,83.5
23,23:00 - 23:59,1096.1666666666667,90.3433664208274,2.5824152826080087,3.376060498062571,3.6981577985020158,108.16666666666667,108.55555555555556,96.44444444444444,83.5
