,Avg_speed,Lane_speeds,Cars_in_lane
79,97.86774193548386,"[97.05, 99.0, 99.0]","[36, 22, 4]"
80,98.071875,"[97.3945945945946, 99.0, 99.0]","[37, 23, 4]"
81,98.24776119402985,"[97.67368421052632, 99.0, 99.0]","[38, 24, 5]"
82,98.11304347826088,"[97.62631578947368, 98.64, 99.0]","[38, 25, 6]"
83,98.19130434782609,"[97.72105263157896, 98.712, 99.0]","[38, 25, 6]"
84,97.74,"[97.875, 97.65, 97.2]","[40, 24, 6]"
85,97.85000000000001,"[98.0142857142857, 97.776, 96.84]","[42, 25, 5]"
86,97.1027027027027,"[98.82857142857144, 94.46666666666667, 96.84]","[42, 27, 5]"
87,96.7864864864865,"[96.18260869565216, 97.98260869565217, 96.84]","[46, 23, 5]"
88,96.03116883116883,"[94.64651162790699, 97.52142857142857, 99.0]","[43, 28, 6]"
89,96.26493506493507,"[94.30243902439025, 98.39999999999999, 99.0]","[41, 30, 6]"
90,95.86153846153846,"[94.47906976744187, 97.2, 99.0]","[43, 28, 7]"
91,96.06923076923077,"[94.8, 97.47692307692307, 99.0]","[45, 26, 7]"
92,96.39,"[95.65116279069767, 96.84, 99.0]","[43, 30, 7]"
93,96.35555555555557,"[95.65714285714286, 97.32000000000001, 96.4]","[42, 30, 9]"
94,95.66666666666666,"[94.73478260869565, 97.61538461538463, 94.8]","[46, 26, 9]"
95,95.68536585365854,"[95.52272727272728, 97.26428571428572, 91.98]","[44, 28, 10]"
96,95.63855421686748,"[95.59148936170213, 98.0, 88.80000000000001]","[47, 27, 9]"
97,95.07857142857142,"[95.03265306122448, 95.95862068965518, 91.2]","[49, 29, 6]"
98,92.13882352941177,"[91.61632653061226, 92.4, 95.10000000000001]","[49, 30, 6]"
99,90.92093023255813,"[88.66666666666667, 97.92, 83.31428571428572]","[54, 25, 7]"
100,89.31724137931035,"[86.436, 95.90625, 75.96000000000001]","[50, 32, 5]"
101,89.87727272727273,"[87.52941176470588, 93.76875, 88.92]","[51, 32, 5]"
102,89.97977528089888,"[86.13333333333334, 96.3, 94.37142857142858]","[54, 28, 7]"
103,90.60000000000001,"[87.5423076923077, 95.50909090909092, 90.0]","[52, 33, 5]"
104,89.92087912087912,"[88.2, 91.44, 99.0]","[52, 35, 4]"
105,89.9608695652174,"[88.13333333333334, 91.85625, 96.3]","[54, 32, 6]"
106,90.0,"[86.75357142857143, 94.12258064516129, 99.0]","[56, 31, 6]"
107,90.21063829787234,"[86.33793103448276, 95.8344827586207, 99.0]","[58, 29, 7]"
108,90.60631578947368,"[88.91379310344827, 93.01935483870969, 94.5]","[58, 31, 6]"
109,91.06875000000001,"[88.58571428571429, 95.85000000000001, 89.325]","[56, 32, 8]"
110,90.91875,"[89.03333333333333, 94.15, 88.5]","[54, 36, 6]"
111,90.7979381443299,"[89.17894736842106, 94.0909090909091, 88.45714285714287]","[57, 33, 7]"
112,91.16907216494846,"[89.77894736842104, 92.7, 97.2]","[57, 36, 4]"
113,90.60000000000001,"[88.97586206896551, 93.75, 86.76]","[58, 36, 5]"
114,90.53999999999999,"[89.97142857142856, 92.12727272727273, 86.4]","[63, 33, 4]"
115,90.504,"[88.60909090909091, 95.52000000000001, 84.15]","[66, 30, 4]"
116,90.216,"[87.55312500000001, 94.58181818181819, 99.0]","[64, 33, 3]"
117,90.33861386138614,"[88.33846153846154, 95.58620689655173, 87.17142857142858]","[65, 29, 7]"
118,88.82912621359223,"[87.6, 93.7, 74.31428571428572]","[60, 36, 7]"
119,89.41153846153846,"[88.06363636363636, 93.19354838709677, 85.37142857142858]","[66, 31, 7]"
120,90.05142857142857,"[88.64347826086957, 92.91724137931034, 92.05714285714286]","[69, 29, 7]"
121,89.6433962264151,"[87.46363636363637, 95.92941176470589, 78.0]","[66, 34, 6]"
122,89.84859813084113,"[90.24179104477612, 88.1, 99.0]","[67, 36, 4]"
123,90.3196261682243,"[87.91304347826087, 96.69375000000001, 84.0]","[69, 32, 6]"
124,90.98333333333333,"[88.2, 96.48947368421054, 86.14285714285714]","[63, 38, 7]"
125,91.4697247706422,"[90.26470588235294, 93.03157894736842, 99.0]","[68, 38, 3]"
126,91.81636363636363,"[89.51830985915494, 97.04117647058824, 88.92]","[71, 34, 5]"
127,92.04324324324325,"[89.76521739130435, 96.35000000000001, 92.4]","[69, 36, 6]"
